30
 Atoms. Timestep: 0
2 5.86039 9.70322 9.47718
2 6.98231 10.5846 9.60234
2 7.79143 11.417 10.0119
2 9.0727 12.0257 10.2669
2 10.1475 12.531 10.205
2 11.283 13.3326 10.2185
2 12.3674 14.1112 10.2307
2 13.3314 15.0977 10.3627
2 14.207 16.0925 10.4435
3 8.53934 14.784 15.0014
3 8.80477 15.8028 15.6602
3 20.7721 7.55733 18.3185
3 15.5006 19.8337 12.6441
3 16.0521 19.7136 11.553
3 24.8666 6.46743 16.067
3 20.8944 1.43711 14.1917
3 22.6371 15.5687 22.0369
3 3.13609 22.2783 11.2013
3 3.43548 22.8046 12.2831
30
 Atoms. Timestep: 2000
1 17.3593 2.47876 19.2461
1 17.0483 1.90643 18.7254
1 24.3896 24.0652 2.51819
1 23.8462 24.0359 3.14927
1 9.51156 0.908288 1.88411
1 8.70935 0.881286 2.0989
1 12.2608 12.0709 24.446
1 12.1536 12.2721 23.6498
1 12.8879 3.41295 14.1625
1 12.1716 3.67816 14.2875
2 4.89975 9.06429 9.3595
2 5.84524 9.8848 9.58695
2 7.04146 10.66 9.77213
2 8.10029 11.079 9.76005
2 9.19729 11.9121 10.0024
2 10.1535 12.6258 10.3228
2 11.1649 13.526 10.3093
2 12.0407 14.2997 10.4648
2 13.1605 15.1878 10.3397
2 14.3087 15.7995 10.3975
3 8.4877 14.7641 14.9522
3 8.52277 15.8075 15.6796
3 20.8354 7.33805 18.4192
3 15.327 19.8592 12.5583
3 16.0575 19.7862 11.4617
3 0.0208804 6.18101 16.0785
3 20.8853 1.66181 14.1861
3 22.6488 15.4984 22.2201
3 3.36224 22.4104 11.0654
3 3.46133 22.8358 12.2497
30
 Atoms. Timestep: 2100
1 17.2424 2.57256 18.9358
1 16.8744 1.95141 18.393
1 24.1773 23.936 2.55622
1 23.706 23.9483 3.23433
1 9.67673 0.940144 1.95235
1 8.8175 0.704987 2.07097
1 12.592 12.459 24.2925
1 12.122 12.3709 23.6686
1 13.0141 3.43033 14.562
1 12.2358 3.56552 14.5648
2 4.57325 9.12086 9.38999
2 5.79272 9.71073 9.54196
2 7.03417 10.361 9.68521
2 8.24849 11.038 9.80416
2 9.24371 11.7776 9.9231
2 10.2612 12.7642 10.1792
2 11.0125 13.7996 10.5306
2 12.0628 14.6245 10.6097
2 13.2927 15.1978 10.4537
2 14.4279 15.7925 10.3212
3 8.43847 14.7669 14.9133
3 8.21423 15.7868 15.6829
3 20.9003 7.10163 18.5295
3 15.1512 19.8793 12.4322
3 16.0498 19.866 11.3949
3 0.190034 5.87303 16.0901
3 20.8729 1.90236 14.1809
3 22.6614 15.4228 22.4175
3 3.61139 22.5631 10.9414
3 3.48365 22.859 12.1914
30
 Atoms. Timestep: 2200
1 17.1355 2.64893 18.5582
1 16.7387 2.04311 18.0649
1 23.9506 23.7959 2.59202
1 23.5512 23.8539 3.3319
1 9.77634 0.957744 2.0397
1 9.01367 0.531071 2.02725
1 12.8741 12.8644 24.0257
1 12.1641 12.4923 23.7895
1 13.1526 3.45955 14.9903
1 12.2832 3.43885 14.8464
2 4.7148 9.3321 9.49532
2 6.0385 9.69158 9.51602
2 7.23078 10.1877 9.52478
2 8.2269 11.0668 9.81969
2 8.97679 11.93 10.1148
2 9.93119 12.8446 10.2081
2 11.0589 13.692 10.4182
2 12.1932 14.4855 10.4207
2 13.2208 15.2647 10.6971
2 14.3981 15.8612 10.3658
3 8.37882 14.8083 14.8979
3 7.88843 15.7246 15.6561
3 20.9671 6.84559 18.651
3 14.9954 19.8971 12.2515
3 16.005 19.9504 11.3644
3 0.376276 5.54024 16.1021
3 20.8565 2.16094 14.176
3 22.675 15.3409 22.631
3 3.8785 22.7404 10.8521
3 3.51037 22.872 12.0832
30
 Atoms. Timestep: 2300
1 17.0538 2.71891 18.125
1 16.6455 2.17364 17.7276
1 23.6981 23.644 2.64004
1 23.39 23.7513 3.42865
1 9.83285 0.932768 2.12539
1 9.27802 0.386481 1.98888
1 13.0126 13.2263 23.6515
1 12.3773 12.702 24.0055
1 13.2243 3.50509 15.4415
1 12.3851 3.29473 15.1389
2 4.89252 9.22309 9.48161
2 6.05752 9.6356 9.46136
2 7.19689 10.342 9.61201
2 8.22318 11.2209 9.84643
2 9.05162 12.0668 10.1173
2 10.0013 12.9917 10.3741
2 11.1029 13.6591 10.3659
2 12.1821 14.3844 10.3484
2 13.2783 15.0747 10.3332
2 14.0482 15.9522 10.8017
3 8.29228 14.8848 14.9066
3 7.55852 15.6243 15.5979
3 21.0362 6.56774 18.7848
3 14.865 19.9178 12.03
3 15.9157 20.0342 11.3549
3 0.581601 5.17975 16.1145
3 20.835 2.43953 14.1712
3 22.6898 15.2521 22.8627
3 4.15064 22.9361 10.8047
3 3.55699 22.8827 11.9165
30
 Atoms. Timestep: 2400
1 17.0428 2.82407 17.667
1 16.571 2.30494 17.3481
1 23.417 23.4826 2.71312
1 23.2235 23.6373 3.51229
1 9.89967 0.893187 2.20971
1 9.55839 0.242577 1.95577
1 12.9572 13.4501 23.3562
1 12.8131 13.0966 24.1296
1 13.2023 3.53048 15.8836
1 12.5606 3.16981 15.4755
2 4.93795 8.6966 9.27786
2 5.88171 9.75997 9.54843
2 6.87251 10.486 9.74149
2 8.1272 11.3014 9.90123
2 9.0305 12.0541 10.1431
2 10.2599 12.9231 10.344
2 11.1363 13.6701 10.1821
2 12.3209 14.4269 10.2678
2 13.2986 15.2867 10.5411
2 14.218 16.1675 10.9768
3 8.17567 14.9822 14.9301
3 7.22623 15.4994 15.5173
3 21.1073 6.267 18.9316
3 14.7406 19.9419 11.7928
3 15.8 20.1161 11.3403
3 0.807137 4.79007 16.1275
3 20.8077 2.73901 14.1662
3 22.7058 15.156 23.1134
3 4.42156 23.1423 10.7862
3 3.63102 22.8997 11.7032
30
 Atoms. Timestep: 2500
1 17.134 2.9637 17.1767
1 16.5055 2.44016 16.9361
1 23.1165 23.3123 2.79909
1 23.0452 23.5131 3.59395
1 9.95998 0.850851 2.30308
1 9.86944 0.0886554 1.91717
1 12.8862 13.5892 23.3143
1 13.2912 13.6189 23.9884
1 13.1453 3.52437 16.3153
1 12.7439 3.07474 15.8556
2 5.16695 8.60427 9.18784
2 6.02281 9.65856 9.52273
2 6.81777 10.7145 9.93166
2 8.01522 11.6512 10.2198
2 9.07123 12.1207 9.97229
2 10.3622 12.7545 9.87927
2 11.2104 13.5276 10.1769
2 12.2082 14.4686 10.5683
2 13.0278 15.4375 10.8049
2 14.2343 16.0846 10.8608
3 8.03111 15.0968 14.9659
3 6.89221 15.3541 15.4174
3 21.1798 5.94531 19.0905
3 14.5975 19.964 11.5516
3 15.684 20.1993 11.3108
3 1.05172 4.37353 16.1412
3 20.7736 3.05746 14.1609
3 22.723 15.0532 23.3815
3 4.69033 23.3556 10.7878
3 3.73122 22.9253 11.4535
30
 Atoms. Timestep: 2600
1 17.2993 3.07948 16.6225
1 16.4992 2.63731 16.5311
1 22.8016 23.1325 2.88532
1 22.8579 23.3837 3.68349
1 9.99326 0.740996 2.37425
1 10.2257 24.9926 1.90346
1 12.96 13.7603 23.4751
1 13.6443 14.1417 23.6355
1 13.0852 3.52114 16.7673
1 12.8962 2.97487 16.2417
2 5.53081 8.84043 9.17952
2 6.12581 9.75018 9.79772
2 7.10323 10.663 10.0372
